Year,Month,Day,Type,Mag
-699,1,26,Partial,0.897
-698,1,16,Total,1.55
-697,1,6,Partial,0.291
-696,5,21,Partial,0.257
-696,11,15,Partial,0.647
-695,11,3,Total,1.722
-694,4,30,Partial,0.734
-692,3,9,Partial,0.664
-692,9,2,Partial,0.77
-691,2,26,Total,1.62
-691,8,23,Total,1.638
-690,8,12,Partial,0.192
-689,12,28,Partial,0.943
-688,12,16,Total,1.472
-687,6,10,Total,1.236
-687,12,5,Partial,0.136
-685,4,21,Partial,0.543
-685,10,15,Partial,0.583
-684,10,3,Total,1.828
-681,8,3,Partial,0.746
-680,1,27,Total,1.586
-680,7,22,Total,1.537
-679,1,16,Partial,0.312
-679,7,11,Partial,0.198
-678,6,1,Partial,0.125
-678,11,26,Partial,0.638
-677,5,22,Total,1.495
-676,11,3,Partial,0.506
-674,3,21,Partial,0.552
-673,9,3,Total,1.709
-672,2,27,Partial,0.407
-672,8,23,Partial,0.281
-670,1,7,Partial,0.924
-670,7,2,Partial,0.927
-670,12,27,Total,1.482
-669,12,16,Partial,0.143
-668,6,10,Partial,0.055
-667,10,25,Partial,0.574
-666,4,21,Total,1.767
-666,10,14,Total,1.85
-665,4,10,Partial,0.48
-665,10,4,Partial,0.613
-663,2,17,Partial,0.805
-663,8,13,Partial,0.633
-662,2,7,Total,1.631
-662,8,2,Total,1.661
-661,1,27,Partial,0.341
-661,7,23,Partial,0.328
-660,12,6,Partial,0.628
-659,6,1,Total,1.356
-659,11,25,Total,1.74
-658,5,22,Total,1.003
-658,11,14,Partial,0.516
-656,3,31,Partial,0.427
-656,9,24,Partial,0.661
-655,3,20,Total,1.828
-654,3,9,Partial,0.498
-652,1,18,Partial,0.898
-652,7,12,Partial,0.799
-651,1,7,Total,1.497
-651,7,2,Total,1.505
-649,5,13,Partial,0.26
-649,11,5,Partial,0.571
-648,5,1,Total,1.62
-647,4,20,Partial,0.625
-647,10,15,Partial,0.632
-645,2,28,Partial,0.74
-644,2,18,Total,1.691
-642,12,18,Partial,0.617
-641,12,7,Total,1.746
-640,6,1,Total,1.143
-638,4,11,Partial,0.294
-638,10,5,Partial,0.621
-637,3,31,Total,1.732
-637,9,25,Total,1.811
-636,9,13,Partial,0.422
-634,1,29,Partial,0.858
-633,1,18,Total,1.525
-633,7,13,Total,1.629
-632,1,7,Partial,0.179
-632,7,2,Partial,0.309
-631,5,23,Partial,0.11
-630,5,13,Total,1.466
-630,11,5,Total,1.87
-627,9,4,Partial,0.447
-626,2,28,Total,1.762
-626,8,24,Total,1.769
-625,2,18,Partial,0.435
-625,8,13,Partial,0.552
-624,12,28,Partial,0.599
-623,6,23,Total,1.082
-623,12,17,Total,1.757
-622,12,6,Partial,0.529
-620,4,21,Partial,0.149
-619,4,11,Total,1.607
-619,10,5,Total,1.836
-618,3,31,Partial,0.715
-618,9,24,Partial,0.472
-616,2,9,Partial,0.808
-616,8,3,Partial,0.58
-615,1,28,Total,1.564
-614,1,17,Partial,0.211
-614,7,13,Partial,0.428
-613,11,27,Partial,0.58
-612,11,16,Total,1.868
-611,11,5,Partial,0.646
-609,3,22,Partial,0.574
