Year,Month,Day,Type,Mag
-699,8,6,Partial,0.692(s)
-694,10,10,Partial,0.167
-690,7,28,Partial,0.486
-689,1,22,Partial,0.093
-689,7,18,Partial,0.319
-688,1,11,Partial,0.694
-686,11,10,Partial,0.172
-682,8,28,Partial,0.1
-678,6,17,Partial,0.678
-675,4,15,Partial,0.027
-668,5,27,Partial,0.087(r)
-663,8,28,Partial,0.053
-661,1,12,Partial,0.784(s)
-660,6,27,Annular,0.918
-656,4,15,Partial,0.692
-650,6,7,Partial,0.501
-649,11,21,Partial,0.812
-647,4,6,Partial,0.577
-645,9,8,Partial,0.058(s)
-640,11,11,Partial,0.758
-636,8,29,Partial,0.592
-635,8,19,Partial,0.765
-634,2,12,Partial,0.764
-625,2,3,Partial,0.058(r)
-623,7,8,Partial,0.001(r)
-613,12,13,Partial,0.227(r)
-609,9,30,Partial,0.501
-607,2,13,Partial,0.342
-606,7,30,Partial,0.736
-602,5,18,Partial,0.835
-596,7,9,Partial,0.33
-595,6,28,Partial,0.309
-593,5,9,Partial,0.057
-586,12,14,Partial,0.584
-584,5,28,Partial,0.772(s)
-583,5,18,Partial,0.002
-581,9,21,Partial,0.7
-580,3,16,Partial,0.67
-578,7,20,Partial,0.475
-577,1,14,Partial,0.156
-574,5,9,Partial,0.256
-570,2,24,Partial,0.08(s)
-568,1,5,Partial,0.027
-563,4,7,Partial,0.488
-558,1,14,Annular,0.909
-556,5,19,Partial,0.968
-555,11,1,Partial,0.6
-553,3,18,Partial,0.064
-552,8,31,Partial,0.298
-551,8,20,Partial,0.197
-548,6,19,Partial,0.252
-546,10,23,Partial,0.608
-543,3,27,Partial,0.074
-541,7,31,Partial,0.917
-538,11,23,Partial,0
-536,11,1,Partial,0.075
-533,8,31,Partial,0.711
-531,1,15,Partial,0.861
-530,6,30,Partial,0.429
-529,6,20,Partial,0.471
-527,10,23,Partial,0.014
-526,4,18,Partial,0.152
-523,2,15,Partial,0.614
-520,6,10,Partial,0.58(r)
-519,5,30,Partial,0.028
-516,3,28,Partial,0.817
-508,4,28,Partial,0.352
-504,2,16,Partial,0.642
-502,6,21,Partial,0.27
-501,12,4,Partial,0.518(s)
-498,10,3,Partial,0.118(r)
-497,9,22,Partial,0.154(r)
-494,7,22,Partial,0.02
-492,11,24,Partial,0.885
-489,4,29,Partial,0.465
-487,9,1,Partial,0.655
-480,4,19,Partial,0.078
-479,10,2,Partial,0.428
-477,2,17,Partial,0.563
-476,2,6,Partial,0.023
-469,3,20,Partial,0.531
-465,7,2,Partial,0.289
-465,12,26,Partial,0.542
-462,4,30,Partial,0.772
-457,8,2,Partial,0.197
-456,12,16,Partial,0.333
-454,5,31,Partial,0.492
-450,3,20,Partial,0.347
