YEAR,B.C.,NIS,AIA,SIM,DUZ,ABU,ULU,UII,TAS,ARA,KIS,Y1,TEB,Y2,SHA,ADD,AII
1,604,4/2,5/1,5/30,6/29,7/28,8/27,,9/26,10/25,11/24,,12/24,603,1/23,2/21
2,603,3/22,4/21,5/20,6/18,7/17,8/16,9/15,10/15,11/13,12/13,602,1/12,,2/10,3/12
3,602,4/10,5/10,6/8,7/7,8/6,9/4,,10/4,11/3,12/2,601,1/1,,1/30,2/29
4,601,3/30,4/28,5/28,6/26,7/25,8/24,,9/22,10/22,11/21,,12/20,600,1/19,2/17
5,600,3/19,4/17,5/17,6/15,7/15,8/13,9/11,10/10,11/9,12/9,599,1/8,,2/6,3/7

6,599,4/6,5/6,6/5,7/4,8/3,9/2,,10/1,10/31,11/29,,12/28,598,1/27,2/25
7,598,3/27,4/25,5/25,6/23,7/23,8/22,9/21,10/20,11/19,12/18,597,1/16,,2/15,3/15
8,597,4/13,5/13,6/11,7/11,8/10,9/9,,10/9,11/7,12/6,596,1/5,,2/3,3/5
9,596,4/3,5/2,6/1,6/30,7/30,8/29,9/28,10/28,11/26,12/25,595,1/24,,2/22,3/24
10,595,4/22,5/21,6/20,7/19,8/18,9/17,,10/16,11/15,12/15,594,1/13,,2/12,3/13

11,594,4/12,5/11,6/9,7/9,8/7,9/6,,10/6,11/4,12/4,593,1/2,,2/1,3/2,3/31
12,593,4/30,5/29,6/27,7/27,8/25,9/24,,10/23,11/22,12/21,592,1/20,,2/19,3/21
13,592,4/19,5/19,6/17,7/17,8/15,9/13,,10/13,11/11,12/10,591,1/9,,2/8,3/10
14,591,4/8,5/8,6/7,7/6,8/5,9/3,,10/2,11/1,11/30,,12/29,590,1/28,2/27,3/28
15,590,4/27,5/27,6/25,7/25,8/23,9/22,,10/21,11/20,12/19,589,1/18,,2/16,3/16

16,589,4/15,5/15,6/13,7/13,8/11,9/10,,10/10,11/8,12/8,588,1/6,,2/5,3/6
17,588,4/4,5/4,6/2,7/2,7/31,8/30,,9/29,10/29,11/27,,12/27,587,1/25,2/24,3/25
18,587,4/23,5/23,6/21,7/21,8/19,9/18,,10/18,11/17,12/16,586,1/15,,2/13,3/15
19,586,4/13,5/12,6/11,7/10,8/8,9/7,,10/7,11/6,12/6,585,1/4,,2/3,3/3
20,585,4/2,5/1,5/30,6/29,7/28,8/26,,9/25,10/25,11/24,,12/23,584,1/22,2/21

21,584,3/22,4/21,5/20,6/18,7/18,8/16,9/14,10/14,11/13,12/13,583,1/11,,2/10,3/11
22,583,4/10,5/9,6/8,7/7,8/6,9/4,,10/4,11/2,12/2,,12/31,582,1/30,2/28
23,582,3/30,4/29,5/28,6/27,7/26,8/25,,9/23,10/23,11/21,,12/21,581,1/19,2/18,3/18
24,581,4/17,5/16,6/15,7/15,8/13,9/12,,10/12,11/10,12/9,580,1/8,,2/6,3/7
25,580,4/6,5/5,6/4,7/4,8/3,9/1,,10/1,10/31,11/29,,12/28,579,1/27,2/25

26,579,3/26,4/25,5/24,6/23,7/23,8/22,,9/20,10/20,11/19,,12/18,578,1/16,2/15,3/16
27,578,4/14,5/14,6/12,7/12,8/10,9/9,,10/9,11/8,12/7,577,1/6,,2/4,3/5
28,577,4/3,5/2,6/1,6/30,7/30,8/28,,9/27,10/27,11/25,,12/25,576,1/24,2/22,3/24
29,576,4/22,5/21,6/20,7/19,8/18,9/16,,10/16,11/14,12/14,575,1/13,,2/11,3/13
30,575,4/12,5/11,6/9,7/9,8/7,9/6,,10/5,11/4,12/3,574,1/2,,1/31,3/2

31,574,4/1,4/30,5/30,6/28,7/28,8/26,9/25,10/24,11/22,12/22,573,1/20,,2/19,3/20
32,573,4/19,5/18,6/17,7/16,8/15,9/13,,10/13,11/11,12/10,572,1/9,,2/7,3/9
33,572,4/8,5/7,6/6,7/6,8/4,9/3,,10/2,11/1,11/30,,12/29,571,1/28,2/26,3/28
34,571,4/26,5/26,6/25,7/24,8/23,9/22,,10/21,11/20,12/19,570,1/18,,2/16,3/17
35,570,4/16,5/15,6/14,7/13,8/12,9/10,,10/10,11/9,12/9,569,1/7,,2/6,3/6

36,569,4/4,5/4,6/2,7/1,7/31,8/30,,9/28,10/28,11/27,,12/27,568,1/25,2/24,3/25
37,568,4/23,5/23,6/21,7/20,8/19,9/17,,10/17,11/16,12/16,567,1/15,,2/13,3/15
38,567,4/13,5/12,6/11,7/10,8/8,9/7,,10/6,11/5,12/5,566,1/4,,2/2,3/4
39,566,4/2,5/2,5/31,6/29,7/29,8/27,,9/26,10/25,11/24,,12/24,565,1/22,2/21
40,565,3/22,4/20,5/20,6/18,7/17,8/16,,9/14,10/14,11/13,,12/12,564,1/11,2/9

41,564,3/11,4/9,5/9,6/7,7/7,8/5,9/4,10/4,11/2,12/2,,12/31,563,1/29,2/28
42,563,3/29,4/28,5/28,6/26,7/26,8/25,,9/23,10/23,11/21,,12/21,562,1/19,2/17,3/19
43,562,4/17,5/17,6/15,7/15,8/14,9/13,,10/13,11/11,12/10,561,1/9,,2/7,3/7
