YEAR,B.C.,NIS,AIA,SIM,DUZ,ABU,ULU,UII,TAS,ARA,KIS,Y1,TEB,Y2,SHA,ADD,AII
1,311,4/3,5/2,5/31,6/30,7/29,8/28,,9/26,10/26,11/25,,12/24,310,1/23,2/22,3/23
2,310,4/22,5/21,6/19,7/19,8/17,9/16,,10/15,11/14,12/13,309,1/12,,2/11,3/12
3,309,4/10,5/10,6/8,7/7,8/6,9/4,,10/4,11/2,12/2,,12/31,308,1/30,3/1
4,308,3/30,4/29,5/29,6/27,7/26,8/25,,9/23,10/23,11/21,,12/21,307,1/19,2/18,3/19
5,307,4/18,5/18,6/16,7/16,8/14,9/13,,10/12,11/11,12/10,306,1/9,,2/7,3/9

6,306,4/7,5/7,6/5,7/5,8/4,9/2,,10/2,11/1,11/30,,12/29,305,1/28,2/26
7,305,3/26,4/25,5/24,6/23,7/23,8/21,,9/20,10/20,11/19,,12/18,304,1/16,2/15,3/16
8,304,4/14,5/14,6/12,7/12,8/10,9/9,,10/9,11/8,12/8,303,1/6,,2/4,3/6
9,303,4/4,5/3,6/2,7/1,7/30,8/29,,9/28,10/28,11/27,,12/26,302,1/25,2/23,3/25
10,302,4/23,5/22,6/21,7/20,8/19,9/17,,10/17,11/16,12/16,301,1/14,,2/13,3/13

11,301,4/12,5/11,6/9,7/9,8/7,9/6,,10/5,11/4,12/4,300,1/2,,2/1,3/2
12,300,4/1,5/1,5/30,6/28,7/28,8/26,,9/25,10/24,11/23,,12/22,299,1/21,2/19,3/21
13,299,4/20,5/19,6/18,7/18,8/16,9/15,,10/14,11/12,12/12,298,1/10,,2/9,3/10
14,298,4/9,5/8,6/7,7/7,8/6,9/4,,10/4,11/2,12/1,,12/30,297,1/29,2/27
15,297,3/28,4/26,5/26,6/25,7/25,8/24,,9/22,10/22,11/20,,12/19,296,1/18,2/16,3/17

16,296,4/16,5/15,6/14,7/14,8/13,9/11,,10/11,11/9,12/9,295,1/7,,2/6,3/7
17,295,4/5,5/5,6/3,7/3,8/1,8/31,,9/30,10/30,11/28,,12/28,294,1/26,2/25
18,294,3/26,4/24,5/24,6/22,7/22,8/20,9/19,10/19,11/18,12/17,293,1/16,,2/14,3/15
19,293,4/13,5/12,6/11,7/10,8/9,9/7,,10/7,11/5,12/5,292,1/4,,2/2,3/4
20,292,4/3,5/2,5/31,6/30,7/29,8/28,,9/26,10/25,11/24,,12/24,291,1/23,2/21,3/23

21,291,4/22,5/21,6/19,7/19,8/17,9/15,,10/15,11/13,12/13,290,1/12,,2/10,3/12
22,290,4/11,5/10,6/9,7/8,8/7,9/5,,10/5,11/3,12/3,289,1/1,,1/31,2/29
23,289,3/30,4/28,5/28,6/27,7/26,8/25,,9/23,10/23,11/21,,12/21,288,1/19,2/17,3/19
24,288,4/17,5/17,6/16,7/15,8/14,9/13,,10/12,11/11,12/10,287,1/9,,2/7,3/8
25,287,4/7,5/6,6/5,7/4,8/3,9/2,,10/2,10/31,11/30,,12/29,286,1/28,2/26

26,286,3/27,4/26,5/25,6/24,7/23,8/22,,9/21,10/21,11/19,,12/19,285,1/17,2/16,3/16
27,285,4/14,5/14,6/12,7/11,8/10,9/9,,10/9,11/7,12/7,284,1/6,,2/4,3/6
28,284,4/4,5/3,6/2,7/1,7/30,8/29,,9/28,10/28,11/26,,12/26,283,1/24,2/23,3/25
29,283,4/23,5/22,6/21,7/20,8/19,9/17,,10/17,11/15,12/15,282,1/13,,2/12,3/14
30,282,4/12,5/12,6/10,7/10,8/8,9/7,,10/6,11/5,12/4,281,1/3,,2/1,3/2

31,281,3/31,4/30,5/29,6/28,7/28,8/26,,9/25,10/24,11/23,,12/22,280,1/20,2/19,3/20
32,280,4/19,5/19,6/17,7/17,8/16,9/15,,10/14,11/12,12/12,279,1/10,,2/8,3/10
33,279,4/8,5/8,6/6,7/6,8/5,9/4,,10/4,11/2,12/1,,12/31,278,1/29,2/27
34,278,3/29,4/27,5/27,6/25,7/25,8/24,,9/23,10/22,11/21,,12/20,277,1/19,2/17,3/17
35,277,4/16,5/15,6/14,7/13,8/12,9/11,,10/10,11/9,12/8,276,1/7,,2/6,3/7

36,276,4/5,5/5,6/3,7/3,8/1,8/31,,9/29,10/29,11/28,,12/27,275,1/26,2/25
37,275,3/26,4/24,5/24,6/22,7/22,8/20,9/18,10/18,11/17,12/16,274,1/15,,2/14,3/15
38,274,4/14,5/13,6/12,7/11,8/10,9/8,,10/7,11/6,12/5,273,1/4,,2/3,3/4
39,273,4/2,5/2,5/31,6/30,7/29,8/27,,9/26,10/25,11/24,,12/23,272,1/22,2/21,3/22
40,272,4/21,5/21,6/19,7/19,8/17,9/15,,10/15,11/13,12/13,271,1/11,,2/10,3/11

41,271,4/10,5/10,6/8,7/8,8/6,9/5,,10/5,11/3,12/3,270,1/1,,1/30,3/1
42,270,3/30,4/29,5/28,6/27,7/27,8/25,,9/24,10/24,11/22,,12/22,269,1/20,2/18,3/19
43,269,4/17,5/17,6/15,7/14,8/13,9/12,,10/12,11/11,12/10,268,1/9,,2/7,3/8
44,268,4/7,5/6,6/4,7/4,8/2,9/1,,10/1,10/31,11/29,,12/29,267,1/28,2/26
45,267,3/27,4/26,5/25,6/23,7/23,8/21,,9/20,10/20,11/19,,12/18,266,1/17,2/16,3/17

46,266,4/15,5/15,6/13,7/12,8/11,9/9,,10/9,11/8,12/7,265,1/6,,2/5,3/5
47,265,4/4,5/3,6/2,7/1,7/30,8/29,,9/28,10/27,11/26,,12/25,264,1/24,2/22,3/24
48,264,4/23,5/22,6/21,7/20,8/18,9/17,,10/17,11/15,12/14,263,1/13,,2/11,3/13
