ID, king_code, king_year, king_month, jyear, jmonth, jday, JDat00h, moon_age
0,k001,0,1,-625,4,5,1492870.5,2
1,k001,0,2,-625,5,5,1492900.5,2
2,k001,0,3,-625,6,4,1492930.5,2
3,k001,0,4,-625,7,3,1492959.5,2
4,k001,0,5,-625,8,2,1492989.5,2
5,k001,0,6,-625,8,31,1493018.5,2
6,k001,0,7,-625,9,29,1493047.5,1
7,k001,0,8,-625,10,29,1493077.5,2
8,k001,0,9,-625,11,27,1493106.5,1
9,k001,0,10,-625,12,27,1493136.5,2
10,k001,0,11,-624,1,25,1493165.5,1
11,k001,0,12,-624,2,24,1493195.5,2
12,k001,1,1,-624,3,24,1493224.5,1
13,k001,1,2,-624,4,23,1493254.5,2
14,k001,1,3,-624,5,23,1493284.5,2
15,k001,1,4,-624,6,21,1493313.5,2
16,k001,1,5,-624,7,21,1493343.5,2
17,k001,1,6,-624,8,19,1493372.5,2
18,k001,1,7,-624,9,18,1493402.5,2
19,k001,1,8,-624,10,18,1493432.5,2
20,k001,1,9,-624,11,16,1493461.5,2
21,k001,1,10,-624,12,16,1493491.5,2
22,k001,1,11,-623,1,14,1493520.5,2
23,k001,1,12,-623,2,12,1493549.5,1
24,k001,2,1,-623,3,14,1493579.5,2
25,k001,2,2,-623,4,12,1493608.5,1
26,k001,2,3,-623,5,12,1493638.5,2
27,k001,2,4,-623,6,10,1493667.5,1
28,k001,2,5,-623,7,10,1493697.5,2
29,k001,2,6,-623,8,9,1493727.5,2
30,k001,2,7,-623,9,7,1493756.5,2
31,k001,2,8,-623,10,7,1493786.5,2
32,k001,2,9,-623,11,6,1493816.5,3
33,k001,2,10,-623,12,5,1493845.5,2
34,k001,2,11,-622,1,4,1493875.5,3
35,k001,2,12,-622,2,2,1493904.5,2
36,k001,2,12.5,-622,3,3,1493933.5,1
37,k001,3,1,-622,4,2,1493963.5,2
38,k001,3,2,-622,5,1,1493992.5,1
39,k001,3,3,-622,5,31,1494022.5,2
40,k001,3,4,-622,6,29,1494051.5,1
41,k001,3,5,-622,7,29,1494081.5,2
42,k001,3,6,-622,8,27,1494110.5,1
